From merged_data,,,,,,,,,From SMCI,,,,,,,,,,,,,
Date,DPRIME,Close/Last,Volume,Open,High,Low,,,Date,Close/Last,Volume,Open,High,Low,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-31,8.5,784.51,7407978,816,819.65,760.01,,,05/31/2024,$784.51 ,7407978,$816.00 ,$819.65 ,$760.01 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-30,8.5,827.94,4747575,832,845.24,815.2,,,05/30/2024,$827.94 ,4747575,$832.00 ,$845.24 ,$815.20 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-29,8.5,839.72,4932341,858.63,863.8,827.0901,,,05/29/2024,$839.72 ,4932341,$858.63 ,$863.80 ,$827.09 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-28,8.5,874.72,6235137,899,909.65,865,,,05/28/2024,$874.72 ,6235137,$899.00 ,$909.65 ,$865.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-24,8.5,883.88,6850442,858,899.2,838.61,,,05/24/2024,$883.88 ,6850442,$858.00 ,$899.20 ,$838.61 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-23,8.5,847.38,11460230,934.49,972.31,835.6601,,,05/23/2024,$847.38 ,11460230,$934.49 ,$972.31 ,$835.66 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-22,8.5,873.27,5632225,910.12,911.65,862.5139,,,05/22/2024,$873.27 ,5632225,$910.12 ,$911.65 ,$862.51 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-21,8.5,898.95,5918834,889,939.94,877.77,,,05/21/2024,$898.95 ,5918834,$889.00 ,$939.94 ,$877.77 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-20,8.5,903.94,5363130,902,925.25,870.05,,,05/20/2024,$903.94 ,5363130,$902.00 ,$925.25 ,$870.05 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-17,8.5,887.89,5192367,925.2,931.99,878,,,05/17/2024,$887.89 ,5192367,$925.20 ,$931.99 ,$878.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-16,8.5,904.4,7009847,924,971.0199,901,,,05/16/2024,$904.40 ,7009847,$924.00 ,$971.02 ,$901.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-15,8.5,952.36,9752896,844.01,954.4999,835.27,,,05/15/2024,$952.36 ,9752896,$844.01 ,$954.50 ,$835.27 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-14,8.5,822.37,4996223,775,829.2399,766.7697,,,05/14/2024,$822.37 ,4996223,$775.00 ,$829.24 ,$766.77 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-13,8.5,782.76,2814702,810.82,811.99,762.63,,,05/13/2024,$782.76 ,2814702,$810.82 ,$811.99 ,$762.63 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-10,8.5,798.5,3791338,817.44,833.3899,793.25,,,05/10/2024,$798.50 ,3791338,$817.44 ,$833.39 ,$793.25 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-09,8.5,799.7,3882079,828.51,830.86,790.51,,,05/09/2024,$799.70 ,3882079,$828.51 ,$830.86 ,$790.51 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-08,8.5,822.64,3719604,802.35,843.7688,800.38,,,05/08/2024,$822.64 ,3719604,$802.35 ,$843.77 ,$800.38 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-07,8.5,819.29,4079264,811,834.2,806.26,,,05/07/2024,$819.29 ,4079264,$811.00 ,$834.20 ,$806.26 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-06,8.5,830.35,5342834,791.83,833.0751,786.9001,,,05/06/2024,$830.35 ,5342834,$791.83 ,$833.08 ,$786.90 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-03,8.5,782.7,5232903,770,801.59,768,,,05/03/2024,$782.70 ,5232903,$770.00 ,$801.59 ,$768.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-02,8.5,762.52,6496180,767.16,768.21,709.12,,,05/02/2024,$762.52 ,6496180,$767.16 ,$768.21 ,$709.12 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-01,8.5,738.3,13536290,777.36,781.35,700,,,05/01/2024,$738.30 ,13536290,$777.36 ,$781.35 ,$700.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-04-30,8.5,858.8,7369301,876,910.84,851.08,,,04/30/2024,$858.80 ,7369301,$876.00 ,$910.84 ,$851.08 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-04-29,8.5,890.35,5866306,839,897.84,830,,,04/29/2024,$890.35 ,5866306,$839.00 ,$897.84 ,$830.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-04-26,8.5,857.44,7068025,799.22,861,788.05,,,04/26/2024,$857.44 ,7068025,$799.22 ,$861.00 ,$788.05 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-04-25,8.5,787.4,5081683,725.96,796.86,721.12,,,04/25/2024,$787.40 ,5081683,$725.96 ,$796.86 ,$721.12 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
